Brand_name,Price,Rating,Rating_count,Review_count,Ranking,URL
"DANDH ENTERPRISE Automatic Closer Smart Door Lock",402,3.9,12,1,31,https://www.flipkart.com/dandh-enterprise-automatic-closer-smart-door-lock/p/itmfd9b6b44f5ba7?pid=SLOGCT5FH9M8BK2G&lid=LSTSLOGCT5FH9M8BK2G3MVIBL&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_71&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGCT5FH9M8BK2G.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"amiciSmart Biometric Smart Door Lock","11,699",0,0,0,32,https://www.flipkart.com/amicismart-biometric-smart-door-lock/p/itmb2d2025805714?pid=SLOGHQT7HBZZYFFH&lid=LSTSLOGHQT7HBZZYFFHGZERRA&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_72&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGHQT7HBZZYFFH.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"ALLY VUE ELECTRIC DOOR LOCK WITH 4 REMOTE Smart Door Lock","3,399",0,0,0,33,https://www.flipkart.com/ally-vue-electric-door-lock-4-remote-smart/p/itm48222b4213977?pid=SLOHYV2WSWHGTUAW&lid=LSTSLOHYV2WSWHGTUAWAG7ZE3&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_73&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOHYV2WSWHGTUAW.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Denler Smart Door Lock, Wi-Fi, Bluetooth Unlock App, Fingerprint Lock, Key min 35mm Smart Door Lock","14,999",0,0,0,34,https://www.flipkart.com/denler-smart-door-lock-wi-fi-bluetooth-unlock-app-fingerprint-key-min-35mm-lock/p/itmd0e632b08344a?pid=SLOGMV5ZSVPZYZZ7&lid=LSTSLOGMV5ZSVPZYZZ7XMULVM&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_74&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGMV5ZSVPZYZZ7.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"OZONE OZ-FDL-01 Life NXT Smart Door Lock","23,725",0,0,0,35,https://www.flipkart.com/ozone-oz-fdl-01-life-nxt-smart-door-lock/p/itmea9ce3d676150?pid=SLOGE73FEBXNXZXH&lid=LSTSLOGE73FEBXNXZXHVUGVPE&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_75&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGE73FEBXNXZXH.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Rhonnium Office Alarm Pad Lock Smart Door Lock",699,0,0,0,36,https://www.flipkart.com/rhonnium-office-alarm-pad-lock-smart-door/p/itm635e0eddfa8ba?pid=SLOH2KW7YZSJHT2Z&lid=LSTSLOH2KW7YZSJHT2ZVXLLD4&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_76&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOH2KW7YZSJHT2Z.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Denler Smart Lock Digital Door Lock Wi-Fi Remote Unlock Using App, Fingerprint Lock Smart Door Lock","23,999",0,0,0,37,https://www.flipkart.com/denler-smart-lock-digital-door-wi-fi-remote-unlock-using-app-fingerprint/p/itmccec0e970b1ac?pid=SLOGMV5ZBCA8AMJD&lid=LSTSLOGMV5ZBCA8AMJDKI2VOR&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_77&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGMV5ZBCA8AMJD.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"OZONE Biometric Digital 5 in 1 Multi Functional Smart Door Lock","29,200",0,0,0,38,https://www.flipkart.com/ozone-biometric-digital-5-1-multi-functional-smart-door-lock/p/itmde0a1f40b6a77?pid=SLOGWYTCHTX23JH4&lid=LSTSLOGWYTCHTX23JH4WJU4YS&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_78&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGWYTCHTX23JH4.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Smartfive Luxe01 Smart Door Lock","14,499",0,0,0,39,https://www.flipkart.com/smartfive-luxe01-smart-door-lock/p/itm41a248fb1db5a?pid=SLOGSFX4DAARADNN&lid=LSTSLOGSFX4DAARADNNKJYQO4&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_79&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGSFX4DAARADNN.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"amiciSmart Intelligent , WiFi Compatible with Camera and Video bell Smart Door Lock","24,799",0,0,0,40,https://www.flipkart.com/amicismart-intelligent-wifi-compatible-camera-video-bell-smart-door-lock/p/itm82ea3b8539de3?pid=SLOGGHMPQ4B7AD2D&lid=LSTSLOGGHMPQ4B7AD2DH382ZR&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_80&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGGHMPQ4B7AD2D.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Yale YTYE Black with Mechanical Key, Pin Code and Backlit Keyboard Smart Door Lock","4,999",5,3,0,41,https://www.flipkart.com/yale-ytye-black-mechanical-key-pin-code-backlit-keyboard-smart-door-lock/p/itmf67aacde7906e?pid=SLOGW3JS4G2V9EZN&lid=LSTSLOGW3JS4G2V9EZNXDUHLV&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_3_81&otracker=search&fm=organic&iid=en_7n9Y9wDXviSgPuT05yHijYg6z_SeHdL_S_Igov2_XRPfVvR3V099b24X9k0WyVbH2O0gqCDbUx0Ba4j1XP6PLA%3D%3D&ppt=None&ppn=None&ssid=7o4avypd1s0000001721996844548&qH=cbd6bd39f1bc0eb5
